B,BG,Bb,BbG
0.571695879900349,0.67806005327981,0.776118279222242,0.78787453305287
0.593629746915791,0.680596323286048,0.776282507731734,0.785093249745849
0.597970047169768,0.703425696986679,0.778321176825427,0.795429827591228
0.547966691747176,0.642043154235033,0.767086436891302,0.767913233252181
0.580549185346661,0.690756493130845,0.749066774738637,0.77528551777418
0.58905484225554,0.698099079620135,0.764971020691313,0.784655622569035
0.577084750050961,0.664241368481371,0.770373990255983,0.778213476136383
0.576031585117665,0.673432102465719,0.776158081097251,0.783206590432488
0.566533362272297,0.679790224169297,0.759545098479738,0.777858784771893
0.577980633125243,0.678148175545115,0.763400906280712,0.78581174163341
