sequence (human),sequence+codon (human),sequence+splice (human),sequence+splice+codon (human),sequence (mouse),sequence+codon (mouse),sequence+splice (mouse),sequence+splice+codon (mouse)
0.6114097,0.6657491,0.76438,0.7830071,0.5851248,0.6608819,0.7160453,0.7377259
0.6151464,0.6760197,0.7632285,0.7837705,0.585387,0.6584625,0.7018489,0.7410566
0.6328235,0.6877622,0.7619908,0.7870404,0.6009228,0.650331,0.7039729,0.7244405
0.5893637,0.6522584,0.7167001,0.7346236,0.6139694,0.6718821,0.7023804,0.7236191
0.636206,0.6962439,0.7500311,0.7807139,0.6197839,0.6486314,0.6974147,0.7196615
0.6070476,0.6766614,0.7459314,0.7775869,0.6122108,0.6651422,0.7117579,0.7450399
0.6023987,0.6690383,0.740267,0.7666451,0.6036612,0.6609653,0.7055355,0.7359199
0.5927631,0.6641376,0.7386829,0.7766784,0.5765841,0.6604458,0.6978819,0.7327611
0.6059018,0.6826115,0.7199043,0.7603674,0.6074607,0.6678584,0.6906901,0.7238828
0.5980615,0.6773269,0.7423529,0.7759681,0.5684396,0.6341993,0.6958306,0.7352646
